City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
150,Nouadhibou,0,MR,2020-08-18 00:56:54,69,20.93,-17.03,75.2,11.41
151,Vila Franca Do Campo,75,PT,2020-08-18 00:57:06,94,37.72,-25.43,73.4,23.04
152,Ballina,0,AU,2020-08-18 00:57:07,39,-28.87,153.57,68.0,9.17
153,Itaituba,0,BR,2020-08-18 00:57:07,39,-4.28,-55.98,81.88,2.04
154,Vetlanda,94,SE,2020-08-18 00:57:07,93,57.43,15.08,64.0,2.24
155,Beyneu,0,KZ,2020-08-18 00:57:07,46,45.32,55.2,63.55,13.29
156,Cherskiy,100,RU,2020-08-18 00:57:07,78,68.75,161.3,45.64,15.97
157,Batticaloa,1,LK,2020-08-18 00:57:08,79,7.71,81.69,78.93,3.83
158,Luang Prabang,90,LA,2020-08-18 00:57:08,100,19.89,102.13,75.2,1.14
159,Kavieng,8,PG,2020-08-18 00:57:08,73,-2.57,150.8,83.62,10.49
160,Upernavik,100,GL,2020-08-18 00:57:09,55,72.79,-56.15,46.8,3.62
161,Slyudyanka,0,RU,2020-08-18 00:57:09,54,51.66,103.71,60.3,3.6
162,Troitsko-Pechorsk,100,RU,2020-08-18 00:56:14,98,62.71,56.2,49.35,5.26
163,Vanavara,100,RU,2020-08-18 00:57:09,50,60.34,102.28,56.77,6.26
164,Saint-Nazaire,94,FR,2020-08-18 00:52:28,100,47.28,-2.2,60.8,3.33
165,Falavarjan,0,IR,2020-08-18 00:57:10,37,32.56,51.51,71.6,4.7
166,Sioux Lookout,20,CA,2020-08-18 00:57:10,52,50.1,-91.92,68.0,6.93
167,Mar Del Plata,0,AR,2020-08-18 00:56:43,65,-38.0,-57.56,53.01,9.17
168,Esperance,90,AU,2020-08-18 00:57:11,100,-33.87,121.9,48.2,23.04
169,Kruisfontein,35,ZA,2020-08-18 00:57:11,66,-34.0,24.73,46.99,11.01
170,Coruripe,29,BR,2020-08-18 00:57:11,85,-10.13,-36.18,73.04,10.36
171,Kapuskasing,75,CA,2020-08-18 00:57:11,87,49.42,-82.43,59.0,4.7
172,Lokosovo,100,RU,2020-08-18 00:57:12,94,61.13,74.82,54.7,8.81
173,Qaanaaq,100,GL,2020-08-18 00:54:02,61,77.48,-69.36,43.07,7.34
174,Luderitz,3,NA,2020-08-18 00:54:39,70,-26.65,15.16,54.14,11.1
175,Half Moon Bay,1,US,2020-08-18 00:53:30,82,37.46,-122.43,84.99,12.75
176,Kloulklubed,90,PW,2020-08-18 00:57:12,100,7.04,134.26,75.2,6.93
177,Atambua,0,ID,2020-08-18 00:57:13,43,-9.11,124.89,82.36,2.75
178,Geraldton,90,AU,2020-08-18 00:55:00,93,-28.77,114.6,53.6,8.05
179,Sarangarh,100,IN,2020-08-18 00:57:13,92,21.6,83.08,76.75,10.09
180,Shakawe,0,BW,2020-08-18 00:57:13,30,-18.37,21.85,60.22,4.09
181,Lompoc,20,US,2020-08-18 00:57:14,64,34.64,-120.46,75.99,9.17
182,Tocopilla,11,CL,2020-08-18 00:56:45,61,-22.09,-70.2,55.04,2.86
183,Dunedin,100,NZ,2020-08-18 00:52:42,71,-45.87,170.5,46.99,42.99
184,Gijon,100,ES,2020-08-18 00:57:14,76,43.54,-5.66,66.99,2.21
185,Vitim,0,RU,2020-08-18 00:57:14,39,59.45,112.56,64.06,0.92
186,Hvolsvollur,100,IS,2020-08-18 00:57:15,96,63.75,-20.22,52.0,3.0
187,Shilka,0,RU,2020-08-18 00:57:15,65,51.85,116.03,54.23,8.63
188,Virginia Beach,40,US,2020-08-18 00:53:25,73,36.85,-75.98,75.2,6.93
189,Salinopolis,96,BR,2020-08-18 00:57:15,80,-0.61,-47.36,79.68,11.34
190,Aksu,100,CN,2020-08-18 00:57:16,27,41.12,80.26,79.16,4.88
191,Paidha,100,UG,2020-08-18 00:57:16,92,2.42,30.99,60.8,3.44
192,Pevek,97,RU,2020-08-18 00:57:16,83,69.7,170.31,39.87,12.06
