City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Beringovskiy,RU,63.05,179.32,51.64,91,100,18.61,light rain
202,Araouane,ML,18.9,-3.53,102.11,15,7,3.36,clear sky
203,Pemba,MZ,-12.97,40.52,77.0,78,40,17.22,scattered clouds
204,Isangel,VU,-19.55,169.27,76.03,79,52,7.58,broken clouds
205,Bara,NG,10.37,10.73,73.98,86,85,4.07,light rain
206,Honghu,CN,29.82,113.46,73.96,97,77,5.28,broken clouds
207,Inhambane,MZ,-23.86,35.38,65.41,72,41,12.06,scattered clouds
208,Aberdeen,GB,57.14,-2.1,60.8,82,29,11.41,scattered clouds
209,Mandiana,GN,10.63,-8.68,74.35,91,100,3.2,moderate rain
210,Mikhaylovka,RU,50.06,43.24,57.99,52,90,1.01,overcast clouds
211,Marabba,SD,12.35,32.18,81.52,72,100,10.36,overcast clouds
212,Benjamin Constant,BR,-4.38,-70.03,69.8,88,90,13.87,light rain
213,Longyearbyen,SJ,78.22,15.64,42.39,76,86,3.74,overcast clouds
214,Hami,CN,42.8,93.45,77.14,23,72,5.48,broken clouds
215,Sembe,CG,1.65,14.58,72.75,86,1,2.51,clear sky
216,Saldanha,ZA,-33.01,17.94,56.91,75,0,8.34,clear sky
217,Mesyagutovo,RU,55.53,58.25,53.4,93,100,8.63,overcast clouds
218,Bobo Dioulasso,BF,11.18,-4.3,80.6,83,20,2.24,thunderstorm
219,Valle De Allende,MX,26.93,-105.4,88.05,22,56,5.41,broken clouds
220,Kuryk,KZ,43.2,51.65,81.14,38,98,13.35,overcast clouds
221,Hithadhoo,MV,-0.6,73.08,84.06,69,93,5.64,overcast clouds
222,Dingle,PH,11.0,122.67,75.29,90,28,0.85,scattered clouds
223,Arraial Do Cabo,BR,-22.97,-42.03,66.2,77,75,23.04,light intensity drizzle
224,Milkovo,RU,54.72,158.62,55.56,72,87,9.13,overcast clouds
225,Fortuna,US,40.6,-124.16,79.0,72,24,3.0,few clouds
226,Shimoni,KE,-4.65,39.38,75.72,82,75,10.89,broken clouds
